year,temp
2555,-0.671177353241
2556,-0.705374902253
2557,-0.740049273066
2558,-0.775200465681
2559,-0.810828480097
2560,-0.846933316314
2561,-0.883514974333
2562,-0.920573454153
2563,-0.958108755774
2564,-0.995826384168
2565,-1.03195936917
2566,-1.06621321574
2567,-1.09858792389
2568,-1.12908349361
2569,-1.15769992491
2570,-1.18443721779
2571,-1.20929537224
2572,-1.23227438827
2573,-1.25337426587
2574,-1.27259500505
2575,-1.2899366058
2576,-1.30539906813
2577,-1.31898239204
2578,-1.33068657752
2579,-1.34051162457
2580,-1.34845753321
2581,-1.35452430341
2582,-1.3587119352
2583,-1.36102042856
2584,-1.36144978349
2585,-1.36
2586,-1.35667107809
2587,-1.35146301775
2588,-1.34437581898
2589,-1.3354094818
2590,-1.32456400618
2591,-1.31183939215
2592,-1.29723563969
2593,-1.2807527488
2594,-1.26239071949
2595,-1.24214955176
2596,-1.2200292456
2597,-1.19602980101
2598,-1.17015121801
2599,-1.14239349658
2600,-1.11275663672
2601,-1.08124063844
2602,-1.04784550173
2603,-1.0125712266
2604,-0.97541781305
2605,-0.936385261072
2606,-0.895473570669
2607,-0.853034286266
2608,-0.811176674405
2609,-0.770252279509
2610,-0.73026110158
2611,-0.691203140616
2612,-0.653078396618
2613,-0.615886869586
2614,-0.579628559519
2615,-0.544303466419
2616,-0.509911590284
2617,-0.476452931115
2618,-0.443927488912
2619,-0.412335263674
2620,-0.381676255403
2621,-0.351950464097
2622,-0.323157889757
2623,-0.295298532383
2624,-0.268372391975
2625,-0.242379468532
2626,-0.217319762056
2627,-0.193193272545
2628,-0.17
2629,-0.147739944421
2630,-0.126413105807
2631,-0.10601948416
2632,-0.0865590794781
2633,-0.0680318917621
2634,-0.050437921012
2635,-0.0337771672276
2636,-0.0180496304091
2637,-0.00325531055642
2638,0.0106057923305
2639,0.0235336782516
2640,0.0355283472068
2641,0.0465897991963
2642,0.0567180342199
2643,0.0659130522778
2644,0.0741748533698
2645,0.081503437496
2646,0.0878988046564
2647,0.093360954851
2648,0.0978898880797
2649,0.101485604343
2650,0.104190229429
2651,0.10604588913
2652,0.107052583444
2653,0.107210312371
2654,0.106519075912
2655,0.104978874066
2656,0.102589706834
2657,0.099351574215
2658,0.0952644762098
2659,0.0903284128181
2660,0.0845433840399
2661,0.0779093898751
2662,0.0704264303239
2663,0.0620945053862
2664,0.0529136150619
2665,0.0428837593512
2666,0.032004938254
2667,0.0202771517702
2668,0.00770039989999
2669,-0.00572531735675
2670,-0.02
2671,-0.0351236480297
2672,-0.051096261446
2673,-0.0679178402488
2674,-0.085588384438
2675,-0.104107894014
2676,-0.123476368976
2677,-0.143693809325
2678,-0.16476021506
2679,-0.186675586182
2680,-0.20943992269
2681,-0.233053224585
2682,-0.257515491866
2683,-0.282826724534
2684,-0.308986922588
2685,-0.335996086029
2686,-0.363854214856
2687,-0.39256130907
2688,-0.42211736867
2689,-0.452522393657
2690,-0.48377638403
2691,-0.51587933979
2692,-0.548697711662
2693,-0.581430203995
2694,-0.613943267516
2695,-0.646236902224
2696,-0.67831110812
2697,-0.710165885203
2698,-0.741801233473
2699,-0.77321715293
2700,-0.804413643575
2701,-0.835390705407
2702,-0.866148338426
2703,-0.896686542633
2704,-0.927005318026
2705,-0.957104664608
2706,-0.986984582376
2707,-1.01664507133
2708,-1.04608613148
2709,-1.07530776281
2710,-1.10430996532
2711,-1.13309273903
2712,-1.16165608392
2713,-1.19
2714,-1.21812448727
2715,-1.24602954572
2716,-1.27371517536
2717,-1.30118137619
2718,-1.32842814821
2719,-1.35545549141
2720,-1.3822634058
2721,-1.40885189138
2722,-1.43522094814
2723,-1.4613705761
2724,-1.48730077524
2725,-1.51301154556
2726,-1.53850288708
2727,-1.56377479978
2728,-1.58882728367
2729,-1.61366033875
2730,-1.63827396501
2731,-1.66266816246
2732,-1.6868429311
2733,-1.71079827092
2734,-1.73453418194
2735,-1.75805066414
2736,-1.78134771753
2737,-1.80428742976
2738,-1.82604232682
2739,-1.84647449636
2740,-1.86558393838
2741,-1.88337065288
2742,-1.89983463986
2743,-1.91497589933
2744,-1.92879443128
2745,-1.94129023571
2746,-1.95246331262
2747,-1.96231366202
2748,-1.97084128389
2749,-1.97804617825
2750,-1.98392834509
2751,-1.98848778441
2752,-1.99172449622
2753,-1.9936384805
2754,-1.99422973727
2755,-1.99349826652
2756,-1.99144406825
2757,-1.98806714247
2758,-1.98336748916
2759,-1.97734510834
2760,-1.97
2761,-1.96133216414
2762,-1.95134160077
2763,-1.94002830987
2764,-1.92739229146
2765,-1.91343354553
2766,-1.89815207208
2767,-1.88154787111
2768,-1.86362094263
2769,-1.84437128662
2770,-1.8237989031
2771,-1.80190379206
2772,-1.77868595351
2773,-1.75414538743
2774,-1.72828209384
2775,-1.70109607273
2776,-1.6725873241
2777,-1.64275584795
2778,-1.61160164429
2779,-1.5791247131
2780,-1.5453250544
2781,-1.51020266818
2782,-1.47375755445
2783,-1.43615739361
2784,-1.39840826822
2785,-1.3606778587
2786,-1.32296616504
2787,-1.28527318725
2788,-1.24759892532
2789,-1.20994337926
2790,-1.17230654906
2791,-1.13468843473
2792,-1.09708903627
2793,-1.05950835367
2794,-1.02194638693
2795,-0.984403136067
2796,-0.946878601065
2797,-0.909372781928
2798,-0.871885678658
2799,-0.834417291252
2800,-0.796967619713
2801,-0.759536664039
2802,-0.722124424231
2803,-0.684730900288
2804,-0.647356092211
2805,-0.61
2806,-0.572662623654
2807,-0.535343963174
2808,-0.49804401856
2809,-0.460762789811
2810,-0.423500276928
2811,-0.386256479911
2812,-0.349031398759
2813,-0.311825033473
2814,-0.274637384052
2815,-0.237468450498
2816,-0.200318232808
2817,-0.163186730985
2818,-0.126073945027
2819,-0.0889798749347
2820,-0.0519045207081
2821,-0.0148478823472
2822,0.0221900401481
2823,0.0592092467778
2824,0.0962097375418
2825,0.13319151244
2826,0.170154571473
2827,0.206277927234
2828,0.240740592316
2829,0.27354256672
2830,0.304683850446
2831,0.334164443493
2832,0.361984345862
2833,0.388143557553
2834,0.412642078566
